src_ip,dst_ip,src_port,dst_port,src_mac,dst_mac,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.50.6,172.217.10.98,54799,443,b8:ca:3a:7b:97:d6,70:f3:5a:42:73:e8,6,2018-11-03 15:18:18,36435473.0,17.565299618863186,0.21956624523578985,0.1646746839268424,0.05489156130894746,6,2,440,200,100.0,60.0,73.33333333333333,18.856180831641264,100.0,100.0,100.0,0.0,100,60,80.0,20.0,400.0,120,40,20,6,5205067.571428572,36373056.0,1.0,12724286.441853905,36435473.0,36373056.0,1.0,7287094.6,14543000.788110858,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.3333333333333333,80.0,257,250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.33333333333333,100.0,0,6,2,440,200
192.168.50.6,172.217.7.2,54800,443,b8:ca:3a:7b:97:d6,70:f3:5a:42:73:e8,6,2018-11-03 15:18:18,36434705.0,17.565669874368407,0.2195708734296051,0.16467815507220382,0.054892718357401275,6,2,440,200,100.0,60.0,73.33333333333333,18.856180831641264,100.0,100.0,100.0,0.0,100,60,80.0,20.0,400.0,120,40,20,6,5204957.857142857,36372291.0,1.0,12724018.824968126,36434705.0,36372291.0,1.0,7286941.0,14542695.086601947,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.3333333333333333,80.0,253,252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.33333333333333,100.0,0,6,2,440,200
192.168.50.6,172.217.10.98,54801,443,b8:ca:3a:7b:97:d6,70:f3:5a:42:73:e8,6,2018-11-03 15:18:18,36434626.0,17.56570796143207,0.21957134951790092,0.1646785121384257,0.05489283737947523,6,2,440,200,100.0,60.0,73.33333333333333,18.856180831641264,100.0,100.0,100.0,0.0,100,60,80.0,20.0,400.0,120,40,20,6,5204946.571428572,36372216.0,1.0,12723993.007270498,36434626.0,36372216.0,1.0,7286925.2,14542665.447189458,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.3333333333333333,80.0,257,246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.33333333333333,100.0,0,6,2,440,200
192.168.50.6,172.217.9.238,54805,80,b8:ca:3a:7b:97:d6,70:f3:5a:42:73:e8,6,2018-11-03 15:18:18,41252.0,8726.849607291768,145.4474934548628,96.96499563657521,48.482497818287605,4,2,240,120,60.0,60.0,60.0,0.0,60.0,60.0,60.0,0.0,60,60,60.0,0.0,0.0,80,40,20,4,8250.4,41051.0,2.0,16400.468000639492,41252.0,41247.0,2.0,13750.666666666666,19442.843762051773,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.5,60.0,255,242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0,0,4,2,240,120
0.0.0.0,255.255.255.255,68,67,90:b1:1c:a4:b7:c0,ff:ff:ff:ff:ff:ff,17,2018-11-03 15:18:18,28870362.0,59.23029299043774,0.17318799120011033,0.17318799120011033,0.0,5,0,1710,0,342.0,342.0,342.0,0.0,0.0,0.0,0.0,0.0,342,342,342.0,0.0,0.0,40,0,8,5,7217590.5,10912366.0,2501634.0,3432513.532925726,28870362.0,10912366.0,2501634.0,7217590.5,3432513.532925726,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,342.0,0,0,0.0,0.0,0.0,0.0,5498875.0,2501634.0,3637455.3333333335,1326834.1039286796,0.0,0.0,0.0,0.0,0.0,0.0,342.0,0.0,0,5,0,1710,0
192.168.50.6,172.217.10.65,54802,443,b8:ca:3a:7b:97:d6,70:f3:5a:42:73:e8,6,2018-11-03 15:18:20,34435249.0,18.585606858832357,0.23232008573540444,0.17424006430155334,0.05808002143385111,6,2,440,200,100.0,60.0,73.33333333333333,18.856180831641264,100.0,100.0,100.0,0.0,100,60,80.0,20.0,400.0,120,40,20,6,4919321.285714285,34372952.0,2.0,12024403.433916138,34435249.0,34372952.0,2.0,6887049.8,13742972.271316571,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.3333333333333333,80.0,258,253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.33333333333333,100.0,0,6,2,440,200
192.168.50.6,172.217.7.2,54803,443,b8:ca:3a:7b:97:d6,70:f3:5a:42:73:e8,6,2018-11-03 15:18:20,34435196.0,18.58563546436617,0.2323204433045771,0.17424033247843285,0.058080110826144275,6,2,440,200,100.0,60.0,73.33333333333333,18.856180831641264,100.0,100.0,100.0,0.0,100,60,80.0,20.0,400.0,120,40,20,6,4919313.714285715,34372904.0,0.0,12024386.697347041,34435196.0,34372904.0,0.0,6887039.2,13742953.572478421,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.3333333333333333,80.0,257,273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.33333333333333,100.0,0,6,2,440,200
192.168.50.6,172.217.12.206,54804,443,b8:ca:3a:7b:97:d6,70:f3:5a:42:73:e8,6,2018-11-03 15:18:20,34425788.0,18.59071461196473,0.23238393264955912,0.17428794948716933,0.05809598316238978,6,2,440,200,100.0,60.0,73.33333333333333,18.856180831641264,100.0,100.0,100.0,0.0,100,60,80.0,20.0,400.0,120,40,20,6,4917969.714285715,34363516.0,1.0,12021102.76129849,34425788.0,34363516.0,1.0,6885157.6,13739200.292242784,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.3333333333333333,80.0,256,253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.33333333333333,100.0,0,6,2,440,200
192.168.50.9,35.158.163.158,57658,443,b8:ca:3a:7b:98:0c,70:f3:5a:42:73:e8,6,2018-11-03 15:18:26,107584.0,8793.129089827484,111.540749553837,74.360499702558,37.180249851279,8,4,682,264,112.0,66.0,85.25,19.967160539245434,66.0,66.0,66.0,0.0,112,66,78.83333333333333,18.658480347790622,348.13888888888886,160,80,20,4,9780.363636363636,107287.0,1.0,30834.368859418504,107584.0,107359.0,1.0,15369.142857142857,37554.7754636138,5.0,3.0,1.0,1.6666666666666667,0.9428090415820634,0,0,0,0,1,0,0,0,0,0,0,0.5,78.83333333333333,527,132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,4.0,0.0,0.0,693693.6936936937,0.0,85.25,66.0,0,8,4,682,264
192.168.50.9,54.192.55.39,37652,443,b8:ca:3a:7b:98:0c,70:f3:5a:42:73:e8,6,2018-11-03 15:18:26,39502.0,23948.154523821577,303.7820869829375,202.52139132195836,101.26069566097918,8,4,682,264,112.0,66.0,85.25,19.967160539245434,66.0,66.0,66.0,0.0,112,66,78.83333333333333,18.658480347790622,348.1388888888889,160,80,20,4,3591.090909090909,38930.0,1.0,11175.527064687094,39502.0,39327.0,1.0,5643.142857142857,13751.493814217021,304.0,301.0,1.0,101.33333333333333,141.1862442150635,0,0,0,0,1,0,0,0,0,0,0,0.5,78.83333333333333,1444,130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,4.0,0.0,0.0,905882.3529411765,0.0,85.25,66.0,0,8,4,682,264
