src_ip,dst_ip,src_port,dst_port,src_mac,dst_mac,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
172.16.0.5,192.168.50.1,52003,80,70:f3:5a:42:73:e8,90:b1:1c:a2:c0:d3,6,2018-12-01 19:04:49,4517752.0,1035.4707385443025,4.426980498265509,2.6561882989593055,1.7707921993062037,12,8,1988,2690,656.0,66.0,165.66666666666666,219.30318941795832,1139.0,66.0,336.25,463.4794358976458,1139,66,233.9,348.9488357911515,121765.29000000004,240,160,20,2,237776.42105263157,4516266.0,1.0,1008449.6713528729,4517752.0,4516266.0,1.0,410704.7272727273,1298292.4826015332,4517533.0,4516516.0,1.0,645361.8571428572,1580392.078212549,0,0,0,0,1,0,0,0,0,0,0,0.6666666666666666,233.9,65535,236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.66666666666666,336.25,0,12,8,1988,2690
172.16.0.5,192.168.50.1,46507,80,70:f3:5a:42:73:e8,90:b1:1c:a2:c0:d3,6,2018-12-01 19:04:50,5002846.0,966.6497829435485,3.9977244952173225,1.9988622476086613,1.9988622476086613,10,10,2014,2822,735.0,66.0,201.4,266.81799039794896,1139.0,66.0,282.2,428.4112043352741,1139,66,241.8,359.16035415953144,128996.16000000003,200,200,20,2,263307.6842105263,5001305.0,1.0,1116756.6835951922,5002737.0,5001486.0,1.0,555859.6666666666,1571766.2793632306,5002737.0,5001412.0,1.0,555859.6666666666,1571740.114533287,0,0,0,0,1,0,0,0,0,0,0,1.0,241.8,65535,237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.4,282.2,0,10,10,2014,2822
172.16.0.5,192.168.50.1,53410,80,70:f3:5a:42:73:e8,90:b1:1c:a2:c0:d3,6,2018-12-01 19:05:35,5318301.0,1567.41786521673,4.888779330090569,3.008479587748042,1.8802997423425263,16,10,3370,4966,667.0,66.0,210.625,248.55529440146714,1139.0,66.0,496.6,524.1173914305839,1139,66,320.61538461538464,403.76774330367743,163028.39053254435,320,200,20,4,212732.04,4785949.0,1.0,939260.8217896232,5318301.0,4785949.0,1.0,354553.4,1191666.1701076522,5318173.0,4786210.0,3.0,590908.1111111111,1492473.6687234268,0,0,0,0,1,0,0,0,0,0,0,0.625,320.61538461538464,65535,245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.625,496.6,0,16,10,3370,4966
172.16.0.5,192.168.50.1,35671,80,70:f3:5a:42:73:e8,90:b1:1c:a2:c0:d3,6,2018-12-01 19:05:47,5406060.0,1470.9418689396714,4.809417579531119,2.589686388978295,2.219731190552824,14,12,2854,5098,585.0,66.0,203.85714285714286,216.54325108817574,1139.0,66.0,424.8333333333333,504.6465484761477,1139,66,305.84615384615387,393.60324540442934,154923.51479289943,280,240,20,4,216242.4,5004847.0,2.0,980556.1088222947,5405962.0,5005041.0,2.0,415843.23076923075,1328972.596137804,5405902.0,5005049.0,2.0,491445.63636363635,1431849.0373054678,0,0,0,0,1,0,0,0,0,0,0,0.8571428571428571,305.84615384615387,65535,243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.85714285714286,424.8333333333333,0,14,12,2854,5098
172.16.0.5,192.168.50.1,35674,80,70:f3:5a:42:73:e8,90:b1:1c:a2:c0:d3,6,2018-12-01 19:05:47,32560250.000000004,34.643468646585944,0.49139671839128996,0.3071229489945562,0.18427376939673373,10,6,700,428,78.0,66.0,70.0,5.059644256269407,74.0,66.0,71.33333333333333,3.7712361663282534,78,66,70.5,4.663689526544408,21.75,200,120,20,0,2170683.3333333335,31571300.0,2.0,7861491.4982549865,32560250.0,31571430.0,2.0,3617805.5555555555,9887901.00142516,32559990.0,31571397.0,2.0,6511998.0,12535548.006161006,0,0,0,0,1,0,0,0,0,0,0,0.6,70.5,65535,227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,71.33333333333333,0,10,6,700,428
172.16.0.5,192.168.50.1,55020,80,70:f3:5a:42:73:e8,90:b1:1c:a2:c0:d3,6,2018-12-01 19:06:01,5722151.0,1456.7948311745006,4.543745874584575,2.4466323940070787,2.0971134805774962,14,12,3238,5098,669.0,66.0,231.28571428571428,259.2719004584703,1139.0,66.0,424.8333333333333,504.6465484761477,1139,66,320.61538461538464,403.7886992097072,163045.3136094674,280,240,20,4,228886.04,5003691.0,2.0,984692.17681972,5722043.0,5003871.0,2.0,440157.1538461539,1331089.5199612202,5721998.0,5003844.0,2.0,520181.63636363635,1432610.2880560537,0,0,0,0,1,0,0,0,0,0,0,0.8571428571428571,320.61538461538464,65535,245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.28571428571428,424.8333333333333,0,14,12,3238,5098
172.16.0.5,192.168.50.1,37210,80,70:f3:5a:42:73:e8,90:b1:1c:a2:c0:d3,6,2018-12-01 19:06:01,413145.0,18734.3426641978,62.93190042236987,38.727323336843,24.204577085526875,16,10,2774,4966,518.0,66.0,173.375,184.16496511280315,1139.0,66.0,496.6,524.1173914305839,1139,66,297.6923076923077,388.91256375761475,151252.98224852074,320,200,20,4,16525.8,403181.0,2.0,78941.23405977385,413145.0,403181.0,2.0,27543.0,100413.0077908236,412880.0,403771.0,2.0,45875.555555555555,126560.93816999436,0,0,0,0,1,0,0,0,0,0,0,0.625,297.6923076923077,65535,243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.375,496.6,0,16,10,2774,4966
172.16.0.5,192.168.50.1,37216,80,70:f3:5a:42:73:e8,90:b1:1c:a2:c0:d3,6,2018-12-01 19:06:02,5006426.0,890.4555864802555,3.9948657984757987,1.9974328992378994,1.9974328992378994,10,10,1636,2822,546.0,66.0,163.6,191.22510295460688,1139.0,66.0,282.2,428.4112043352741,1139,66,222.9,336.9986498489274,113568.08999999997,200,200,20,2,263496.1052631579,5004949.0,2.0,1117571.1711012977,5006328.0,5005122.0,2.0,556258.6666666666,1572910.73093612,5006307.0,5005029.0,2.0,556256.3333333334,1572878.6732734488,0,0,0,0,1,0,0,0,0,0,0,1.0,222.9,65535,235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.6,282.2,0,10,10,1636,2822
172.16.0.5,192.168.50.1,50437,80,70:f3:5a:42:73:e8,90:b1:1c:a2:c0:d3,6,2018-12-01 19:06:13,5302884.0,1466.7490369391448,4.902992409413444,2.640072835838008,2.2629195735754357,14,12,2680,5098,528.0,66.0,191.42857142857142,196.3399800221596,1139.0,66.0,424.8333333333333,504.6465484761477,1139,66,299.15384615384613,389.66057145513906,151835.36094674555,280,240,20,4,212115.36,5004900.0,2.0,980035.7256446064,5302789.0,5005096.0,2.0,407906.8461538461,1329415.4907182588,5302761.0,5005051.0,2.0,482069.1818181818,1432802.7983269729,0,0,0,0,1,0,0,0,0,0,0,0.8571428571428571,299.15384615384613,65535,243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.42857142857142,424.8333333333333,0,14,12,2680,5098
172.16.0.5,192.168.50.1,35687,80,70:f3:5a:42:73:e8,90:b1:1c:a2:c0:d3,6,2018-12-01 19:06:20,14533148.0,2281.6804728060292,4.678958750024426,3.0275615441334525,1.651397205890974,44,24,12262,20898,585.0,66.0,278.6818181818182,254.87740125287982,1139.0,66.0,870.75,463.08694737957507,1139,66,487.6470588235294,444.72217912871906,197777.81660899648,880,480,20,18,216912.6567164179,4523424.0,2.0,712465.5018015469,14533148.0,4523424.0,2.0,337980.18604651163,866027.8765393838,14532899.0,4524022.0,2.0,631865.1739130435,1103300.2388574984,0,0,0,0,1,0,0,0,0,0,0,0.5454545454545454,487.6470588235294,65535,302,0.0,0.0,0.0,0.0,4523424.0,113198.0,2318311.0,2205113.0,0.0,0.0,0.0,0.0,0.0,0.0,278.6818181818182,870.75,0,44,24,12262,20898
